distrito,sector,uso_grupo,compatibilidad_desc,conteo
C23,C - Central,Comercio y servicios,Condicionada,21
C23,C - Central,Comercio y servicios,No permitida,20
C23,C - Central,Equipamiento,Compatible,48
C23,C - Central,Equipamiento,Condicionada,3
C23,C - Central,Equipamiento,No permitida,18
C23,C - Central,Habitacional,Compatible,10
C23,C - Central,Habitacional,No permitida,4
C23,C - Central,Industrial,Compatible,3
C23,C - Central,Industrial,Condicionada,13
C23,C - Central,Industrial,No permitida,17
C23,C - Central,Infraestructura,Compatible,4
C23,C - Central,Infraestructura,Condicionada,3
C23,C - Central,Infraestructura,No permitida,3
C24,C - Central,Agricola,No permitida,7
C24,C - Central,Comercio y servicios,Compatible,53
C24,C - Central,Comercio y servicios,Condicionada,21
C24,C - Central,Comercio y servicios,No permitida,20
C24,C - Central,Equipamiento,Compatible,38
C24,C - Central,Equipamiento,Condicionada,8
C24,C - Central,Equipamiento,No permitida,23
C24,C - Central,Habitacional,Compatible,10
C24,C - Central,Habitacional,No permitida,4
C24,C - Central,Industrial,Compatible,6
C24,C - Central,Industrial,Condicionada,13
C24,C - Central,Industrial,No permitida,14
C24,C - Central,Infraestructura,Compatible,4
C24,C - Central,Infraestructura,Condicionada,3
C24,C - Central,Infraestructura,No permitida,3
C25,C - Central,Agricola,No permitida,7
C25,C - Central,Comercio y servicios,Compatible,53
C25,C - Central,Comercio y servicios,Condicionada,23
C25,C - Central,Comercio y servicios,No permitida,18
C25,C - Central,Equipamiento,Compatible,20
C25,C - Central,Equipamiento,Condicionada,4
C25,C - Central,Equipamiento,No permitida,45
C25,C - Central,Habitacional,No permitida,14
C25,C - Central,Industrial,Compatible,1
C25,C - Central,Industrial,Condicionada,6
C25,C - Central,Industrial,No permitida,26
C25,C - Central,Infraestructura,Compatible,4
C25,C - Central,Infraestructura,Condicionada,3
C25,C - Central,Infraestructura,No permitida,3
C26,C - Central,Agricola,No permitida,7
C26,C - Central,Comercio y servicios,Compatible,54
C26,C - Central,Comercio y servicios,Condicionada,26
C26,C - Central,Comercio y servicios,No permitida,14
C26,C - Central,Equipamiento,Compatible,51
C26,C - Central,Equipamiento,Condicionada,5
C26,C - Central,Equipamiento,No permitida,13
C26,C - Central,Habitacional,Compatible,10
C26,C - Central,Habitacional,No permitida,4
C26,C - Central,Industrial,Compatible,6
C26,C - Central,Industrial,Condicionada,13
C26,C - Central,Industrial,No permitida,14
C26,C - Central,Infraestructura,Compatible,4
C26,C - Central,Infraestructura,Condicionada,4
C26,C - Central,Infraestructura,No permitida,2
C3,C - Central,Agricola,No permitida,7
C3,C - Central,Comercio y servicios,Compatible,11
C3,C - Central,Comercio y servicios,Condicionada,6
C3,C - Central,Comercio y servicios,No permitida,77
C3,C - Central,Equipamiento,Compatible,8
C3,C - Central,Equipamiento,Condicionada,3
C3,C - Central,Equipamiento,No permitida,58
C3,C - Central,Habitacional,No permitida,14
C3,C - Central,Industrial,Compatible,4
C3,C - Central,Industrial,Condicionada,1
C3,C - Central,Industrial,No permitida,28
C3,C - Central,Infraestructura,Compatible,4
C3,C - Central,Infraestructura,Condicionada,3
C3,C - Central,Infraestructura,No permitida,3
C4,C - Central,Agricola,No permitida,7
C4,C - Central,Comercio y servicios,Compatible,44
C4,C - Central,Comercio y servicios,Condicionada,12
C4,C - Central,Comercio y servicios,No permitida,38
C4,C - Central,Equipamiento,Compatible,40
C4,C - Central,Equipamiento,Condicionada,6
C4,C - Central,Equipamiento,No permitida,23
C4,C - Central,Habitacional,Compatible,6
C4,C - Central,Habitacional,Condicionada,4
C4,C - Central,Habitacional,No permitida,4
C4,C - Central,Industrial,Compatible,6
