nivel,seccion,pagina_pdf,uso_grupo,codigo_actividad,actividad,distrito,sector,compatibilidad,compatibilidad_desc,confianza_color,fuente,nota
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C19,C - Central,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C20,C - Central,C,Compatible,167,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C21,C - Central,NP,No permitida,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C22,C - Central,C,Compatible,171,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C23,C - Central,C,Compatible,169,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C24,C - Central,C,Compatible,167,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C25,C - Central,NP,No permitida,112,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,C26,C - Central,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,D1,D - Independencia-Alamitos,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,D2,D - Independencia-Alamitos,C,Compatible,188,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,D3,D - Independencia-Alamitos,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,D4,D - Independencia-Alamitos,C,Compatible,188,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E1,E - Cetys-Tecnologico,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E2,E - Cetys-Tecnologico,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E3,E - Cetys-Tecnologico,C,Compatible,192,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E4,E - Cetys-Tecnologico,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E5,E - Cetys-Tecnologico,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
