anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2026,Z1,B,MPC0,66,A,MACROPLAZA DEL VALLE,6440.0,MPC066A,MPC066A
2026,Z1,B,MPC0,88,A,C.C. CALIMAX SANTA BÁRBARA,2800.0,MPC088A,MPC088A
2026,Z1,B,MPC0,89,A,C.C. REAL DEL RÍO,2800.0,MPC089A,MPC089A
2026,Z1,B,MCC0,38,A,CALZ. GRAL. LÁZARO CÁRDENAS - DE DANUBIO A CALZ. HEROICO COLEGIO MILITAR,5040.0,MCC038A,MCC038A
2026,Z1,B,MCC0,38,B,CALZ. GRAL. LÁZARO CÁRDENAS - DE CALZ. MANUEL GÓMEZ MORÍN A CALLE RIO DANUBIO,3220.0,MCC038B,MCC038B
2026,Z1,A,MCC0,38,C,CALZ. GRAL. LÁZARO CÁRDENAS - DE CARRETERA A SANTA ISABEL A CALZ. MANUEL GÓMEZ MORÍN,2520.0,MCC038C,MCC038C
2026,Z1,B,MCC0,56,A,CALZ. MANUEL GÓMEZ MORÍN - DE AVENIDA CRISTÓBAL COLÓN A AVENIDA OAXACA,1680.0,MCC056A,MCC056A
2026,Z1,B,MCC0,56,B,CALZ. MANUEL GÓMEZ MORÍN - DE AVENIDA OAXACA A CARRETERA A SANTA ISABEL,2520.0,MCC056B,MCC056B
2026,Z1,B,MCC0,56,C,CALZ. MANUEL GÓMEZ MORÍN - DE CARRETERA A SANTA ISABEL A CANAL REFORMA,1960.0,MCC056C,MCC056C
2026,Z1,B,MCC0,56,D,CALZ. MANUEL GÓMEZ MORÍN - DE DREN REFORMA A PROLONGACIÓN CALZADA LÁZARO CÁRDENAS.,1960.0,MCC056D,MCC056D
2026,Z1,B,MCC0,52,A,CARRETERA A SANTA ISABEL - DE CALZ. MANUEL GÓMEZ MORÍN A CALLE YUGOSLAVIA,2100.0,MCC052A,MCC052A
2026,Z1,B,MZI,023,A,PROGRESO Y AMPLIACIÓN,1800.0,MZI023A,MZI023A
2026,Z1,B,MZI,028,A,SUN POWER,1800.0,MZI028A,MZI028A
2026,Z1,A,MZI,BME,A,WESTGATE INDUSTRIAL PARK,1400.0,MZIBMEA,MZIBMEA
2026,Z2,C,MXH,BFB,A,BALBUENA RESIDENCIAL,2430.0,MXHBFBA,MXHBFBA
